N:,Nomi,Gurux,Narxi,O'lchov birligi,Tavsif
1,Ice latte,COFFE,"30,000",Donasi,Sut va espresso asosidagi yumshoq kofe ichimligi
2,RAF,COFFE,"35,000",Donasi,Mazali va sifatli tayyorlangan mahsulot
3,LATTE,COFFE,"30,000",KG,Sut va espresso asosidagi yumshoq kofe ichimligi
4,Ice Amerıcano,COFFE,"25,000",Donasi,Mazali va sifatli tayyorlangan mahsulot
5,MILK SHEYKLAR,COFFE,"35,000",Donasi,Mazali va sifatli tayyorlangan mahsulot
6,MOXITO,COFFE,"30,000",Donasi,Sut va espresso asosidagi yumshoq kofe ichimligi
7,Ice LATTE macha,COFFE,"35,000",Donasi,Sut va espresso asosidagi yumshoq kofe ichimligi
8,Hot chokolatte,COFFE,"30,000",Donasi,Mazali va sifatli tayyorlangan mahsulot
9,PEYNİRLİ,SHIRINLIKLAR,"15,000",Donasi,Mazali va sifatli tayyorlangan mahsulot
10,EXSPRESSO,ICE COFFE,"22,000",Donasi,Mazali va sifatli tayyorlangan mahsulot
11,TÜRK CHAYI,ICE COFFE,"4,000",Donasi,Mazali va sifatli tayyorlangan mahsulot
12,TÜRK QAXVASI,ICE COFFE,"20,000",Donasi,Mazali va sifatli tayyorlangan mahsulot
13,KİYMALİ POĞAÇA,POĞAÇA ÇEŞİTLERİ,"12,000",Donasi,Mazali va sifatli tayyorlangan mahsulot
14,SU BÖREĞI,BÖREK ÇEŞITLARI,"7,000",Donasi,Mazali va sifatli tayyorlangan mahsulot
15,KİYMALİ POĞAÇA,POĞAÇA ÇEŞİTLERİ,"12,000",Donasi,Mazali va sifatli tayyorlangan mahsulot
16,PEYNİRLİ,POĞAÇA ÇEŞİTLERİ,"12,000",Donasi,Mazali va sifatli tayyorlangan mahsulot
17,HAVUÇ DILIMI,BAKLAVALAR ÇEŞITLERI,"35,000",Donasi,Mazali va sifatli tayyorlangan mahsulot
18,KLASSIK KUŞ GÖZÜ,BAKLAVALAR ÇEŞITLERI,"15,000",Donasi,Mazali va sifatli tayyorlangan mahsulot
19,ÇİKOLATALI,POĞAÇA ÇEŞİTLERİ,"15,000",Donasi,Mazali va sifatli tayyorlangan mahsulot
